Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"City Holding Company","CHCO","0","3.84","4.48","4.76","18.45","16.27","15.29","2.03","2.53",".26","0","0","NSDQ","Finance","12","Banks - Southeast","11.34","-3.26","11.32","20180423","12.302","1130.13"
"Church & Dwight Company, Inc.","CHD","0","1.92","2.26","2.45","26.06","22.39","20.64","2.16","1.72",".2","-.07","-.03","NYSE","Consumer Staples","12","Soap and Cleaning Materials","4","4.26","6.61","20180503","48.67399","12333.73"
"Churchill Downs, Incorporated","CHDN","0","7.05","11.38","13.16","41.1","24.06","20.8","1.49",".56",".16","5.51","2.4","NSDQ","Consumer Discretionary","12","Gaming","-46.77","25.58","-7.01","20180425","63.733","3697.34"
"Chemed Corporation","CHE","0","8.38","8.76","9.32","33.32","32.1","30.18","3.21",".4",".06","0","0","NYSE","Medical","12","Medical - Outpatient and Home Healthcare","1.75","7.5","6.47","20180425","14.44099","4545.19"
"Chemical Financial Corporation","CHFC","0","3.04","3.91","4.33","18.83","15.01","13.57","1.67","1.91",".19","0","0","NSDQ","Finance","12","Banks - Midwest","4.82","1.28","2.22","20180424","12.25899","4189.04"
"CHINA EVERBRIHT","CHFFF","","","","","","","","","0","","","","OTC","Business Services","12","Waste Removal Services","","","","","","6775.17"
"Chegg, Inc.","CHGG","0",".26",".47",".64","79.54","47.38","34.71","1.9","0","-.08","-9.62","3.46","NYSE","Computer and Technology","12","Internet - Software","15.38","11.11","44.12","20180507","0","2448.87"
"Choice Hotels International, Inc.","CHH","-19.14","2.89","3.64","4.03","29.31","23.17","20.92","2.38","1.02",".11","4.69","9.06","NYSE","Consumer Discretionary","12","Hotels and Motels","0","3.26","2.48","20180503","","4804.29"
"Chesapeake Energy Corporation","CHK","",".76",".78",".75","3.75","3.99","4.16","","0",".1","-22.98","-6.23","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","20","20","22.4","20180503","","2827.74"
"Check Point Software Technologies Ltd.","CHKP","0","5.26","5.74","6.23","19.92","18.53","17.08","1.91","0",".43","0",".06","NSDQ","Computer and Technology","12","Security","4.64","4.84","3.61","20180426","0","17388.69"
"China Mobile (Hong Kong) Ltd.","CHL","0","4.07","4.39","4.38","","10.49","10.54","2.1","3.59","","0","4.98","NYSE","Computer and Technology","12","Wireless Non-US ","","","","20180322","","188783.97"
"China Oilfield Services Ltd.","CHOLY","",".03","1.01","","","21.64","","",".53","","","0","OTC","Oils-Energy","12","Oil and Gas - Field Services","","","","20180320","43.631","1979.55"
"Chaparral Energy, Inc.","CHPE","",".31",".14",".82","","166.67","27.27","","0","","17.02","107.69","OTC","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","","","","","","1053.31"
"C.H. Robinson Worldwide, Inc.","CHRW","0","3.32","4.42","4.86","26.16","20.6","18.72","2.35","2.02",".03","0","0","NSDQ","Transportation","12","Transportation - Services","16.47","3.66","3.57","20180424","34.471","12721.33"
"Chorus Ltd.","CHRYY","","","","","","","","","4.25",".11","","","OTC","Computer and Technology","6","Wireless Non-US ","","","","","73.734","1176.61"
"Chico's FAS, Inc.","CHS","0",".65",".88",".95","12.88","9.94","9.22",".99","3.77",".04","-3.55","12.59","NYSE","Retail-Wholesale","1","Retail - Apparel and Shoes","37.5","0","3.22","20180523","7.54949","1119.57"
"Chesapeake Lodging Trust","CHSP","0","2.19","2.38","2.53","12.4","11.35","10.69","2.27","5.92",".13","1.44","-.06","NYSE","Finance","12","REIT and Equity Trust - Other","-4","0","3.27","20180424","44.173","1632.08"
"China High Speed Transmission Equipment Group Co.","CHSTY","","","","","","","","","1.68","","","","OTC","Industrial Products","12","Manufacturing - General Industrial ","","","","20180329","","2678.62"
"Chunghwa Telecom Co., Ltd.","CHT","0","1.67","1.69","","22.47","21.94","","4.17","3.48",".17","","0","NYSE","Utilities","12","Diversified Communication Services","","","","20180426","0","28764.63"
"Charter Communications, Inc.","CHTR","0","2.09","4.32","8.22","167.86","83.15","43.7","3.96","0",".24","-4.51","-4.46","NSDQ","Consumer Discretionary","12","Cable Television","1.18","-81.73","-39.69","20180501","58.92499","85676.13"
"China Unicom (Hong Kong) Ltd","CHU","",".3",".55","1.18","","22.6","10.53","","0","","4.42","0","NYSE","Computer and Technology","12","Wireless Non-US ","","","","20180321","12.64099","38033.46"
"Chiyoda Corp. Unsponsored ADR","CHYCY","","",".21",".37","","46.24","26.24","4.62","0","-.07","","","OTC","Construction","3","Engineering - R and D Services","","","","20180511",".0007","2514.58"
"Cigna Corporation","CI","0","10.38","12.92","14.46","16.01","12.95","11.57","1",".02",".05","0",".9","NYSE","Finance","12","Insurance - Multi line","3.74","19.92","13.63","20180504","27.64599","40635.48"
"CHINA MENGNIU","CIADY","","","","","","","","",".36","","","","OTC","Consumer Staples","12","Food - Dairy Products","","","","20180329","","12379.04"
"BanColombia S.A.","CIB","103.83","3.41","3.85","4.64","11.01","11.38","9.44","1.13","2.88",".13","5.69","4.43","NYSE","Finance","12","Banks - Foreign","-34.69","-11.88","","20180313","45.29999","10532.15"
"China Construction Bank Corp.","CICHY","","","","","7.93","","","","3.16","","","","OTC","Finance","12","Banks - Foreign","","","","20180404","","26109.31"
"China Cosco Holdings Co.","CICOY","",".22","","","","","","","0","","","","OTC","Transportation","12","Transportation - Shipping","","","","20180329","49.64799","1279.98"
"Ciena Corporation","CIEN","-1.06","1.76","1.36","1.73","17.28","19.99","15.71","1.29","0",".45","9","9.88","NYSE","Computer and Technology","10","Fiber Optics","25","-8","10.68","20180607","24.975","3915.39"
"Comp En De Mn Cemig ADS","CIG","",".24","","","","","","","2.51","","","","NYSE","Utilities","12","Utility - Electric Power","","","","20180316","39.99499","3210.05"
"Colliers International Group Inc.","CIGI","","2.9","3.4","3.58","21.33","19.51","18.53","",".15",".02","6.87","9.68","NSDQ","Finance","12","Real Estate - Operations","14.88","29.79","23.08","20180501","57.583","2597.07"
"China Merchants Bank Co.","CIHKY","","","","","11.26","","","","1.93","","","","OTC","Finance","12","Banks - Foreign","","","","20180323","46.616","20668.23"
"Chimera Investment Corporation","CIM","","2.33","2.4","2.28","7.55","7.4","7.79","","11.27",".46","","-.41","NYSE","Finance","12","REIT and Equity Trust","1.64","8.77","-1.61","20180507","72.524","3333.62"
"Cincinnati Financial Corporation","CINF","","2.65","3.28","3.45","27.46","22.97","21.81","","2.66",".18","0","-4.38","NSDQ","Finance","12","Insurance - Property and Casualty","8.14","9.43","16.49","20180425","9.35779","12338.48"
"Cielo SA","CIOXY","","","","","14.09","","","","2.77","","","","OTC","Finance","12","Financial - Miscellaneous Services","","","","20180319","30.634","19017.71"
"Capitol Acquisition Corp. III","CISN","",".57",".87","1","","14.11","12.28","","0","-.19","0","0","NYSE","Computer and Technology","12","Internet - Software","0","-11.76","","20180614","77.40899","1505.96"
"CIT Group Inc (DEL)","CIT","","2.97","4.25","5.04","16.09","13.06","11.02","","1.15",".15",".05",".38","NYSE","Finance","12","Financial - Miscellaneous Services","20.73","21.43","26.68","20180424","55.07699","7260.35"
"iShares Intermediate Credit Bond ETF","CIU","","","","","","","","","2.58","","","","NSDQ","Finance","12","Financial - Investment Funds","","","","","","7146.27"
"C&J Energy Services, Inc.","CJ","","-.03","2.86","4.74","173.47","9.09","5.48","","0","","20.22","14.61","NYSE","Oils-Energy","12","Oil and Gas - Field Services","42.31","142.86","-6.3","20180508","","1781.48"
"CHOW TAI FOOK","CJEWY","0","",".51",".58","","22.24","19.55","1.53","1.97",".06","0","0","OTC","Retail-Wholesale","3","Retail - Jewelry","","","","","6.1571","11340"
"Central Japan Railway Co.","CJPRY","","1.61","","","9.89","","","",".47",".22","","","OTC","Transportation","3","Transportation - Rail","","","","20180319","62.25299","38295.4"
"Corus Entertainment Inc.","CJREF","","","","","6.87","","","","16.24",".11","","","OTC","Consumer Discretionary","8","Broadcast Radio and Television","","","","20180405","42.471","1164.08"
"Ck Hutchison Holdings Ltd","CKHUY","0","1.15","1.38","","","9.14","",".83","2.42","","","0","OTC","Conglomerates","12","Diversified Operations","","","","20180328","34.12599","48645.33"
"Vesuvius PLC Unsponsored ADR","CKSNY","","","","","","","","","2.66","","","","OTC","Unclassified","12","Unclassified","","","","","","1990.71"
"Colgate-Palmolive Company","CL","0","2.87","3.18","3.44","24.77","22.35","20.65","2.63","2.25",".13","0","0","NYSE","Consumer Staples","12","Soap and Cleaning Materials","0","0",".38","20180427","96.43099","62218.23"
"Core Laboratories N.V.","CLB","","1.99","2.66","3.18","53.56","40.23","33.66","","2.05",".13","0","-.09","NYSE","Oils-Energy","12","Oil and Gas - Field Services","0","9.09","5.2","20180418","60.414","4730.44"
"Cloudera, Inc.","CLDR","","-.82","-.63","-.42","","","","","0","","0","0","NYSE","Computer and Technology","1","Internet - Software","29.17","32","","20180403","0","2857.15"
"Cleveland-Cliffs Inc.","CLF","",".34","1.15","1.05","9.75","6.55","7.13","","0",".16","5.19","8.11","NYSE","Basic Materials","12","Mining - Miscellaneous","73.33","20","-7.75","20180426","","2233.48"
"CoreLogic, Inc.","CLGX","0","2.34","2.58","2.88","19.84","18.15","16.24","1.65","0",".08","5.39","3.88","NYSE","Business Services","12","Consulting Services","3.77","0","2.56","20180424","62.55199","3816"
"Clean Harbors, Inc.","CLH","",".31",".71","1.14","196.85","74.6","46.62","","0",".03","-18.86","-21.27","NYSE","Business Services","12","Waste Removal Services","-80","-46.15","-35.71","20180502","57.77099","3003.33"
"Mack-Cali Realty Corporation","CLI","0","2.26","2.05","2.19","7.86","8.55","7.98","2.54","4.57",".04","-4.67","-2.94","NYSE","Finance","12","REIT and Equity Trust - Other","-5.66","-1.72","-2.69","20180508","64.42299","1579.25"
"CLINIGEN GP PLC","CLIGF","",".54",".63",".69","","23.41","21.38","","0","","0","0","OTC","Medical","6","Medical - Drugs","","","","","","1803.72"
"CapitaLand Ltd.","CLLDY","","","","","10.54","","","","2.24","","","","OTC","Finance","12","Real Estate - Operations","","","","20180314","35.88499","11862.05"
"Cellectis S.A.","CLLS","","-2.89","-2.62","-1.13","","","","","0","","0","0","NSDQ","Medical","12","Medical - Biomedical and Genetics","-18.75","-28.07","-3.23","20180508",".00333","1189.94"
"Colony NorthStar Credit Real Estate, Inc.","CLNC","","","","","","","","","8.48","","","","NYSE","Finance","12","REIT and Equity Trust","","","","","","2602.72"
"NorthStar Asset Management Group, Inc.","CLNS","","",".7","1.02","5.3","8.5","5.84","","18.03","-.07","-18","-48.16","NYSE","Finance","12","REIT and Equity Trust","-46.67","-11.11","-21.08","20180508","46.796","3237.48"
"Coloplast A/S","CLPBY","0",".29",".31",".33","","27.52","25.85","3.44","1.44","","0","0","OTC","Medical","9","Medical - Products","","","","","","16889.4"
"CLP Holdings Ltd.","CLPHY","",".73",".68","","","15.2","","","1.75","","","4.62","OTC","Utilities","12","Utility - Electric Power","","","","20180312","28.565","26110.87"
"Continental Resources, Inc.","CLR","",".41","2.35","2.7","100.75","22.25","19.44","","0",".25","33.03","37.86","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","28.13","200","","20180502","55.31299","19657.56"
"Celestica, Inc.","CLS","","1.22","1.12","1.28","9.27","9.89","8.62","","0",".02","0","-4.15","NYSE","Computer and Technology","12","Electronics - Manufacturing Services","-10","0","-1.61","20180419","10.97399","1370.44"
"Clovis Oncology, Inc.","CLVS","","-7.65","-4.75","-2.17","","","","","0","-6.24","-560.3","-48.63","NSDQ","Medical","12","Medical - Biomedical and Genetics",".78","-6.9",".91","20180502","43.444","3152.73"
"Clorox Company (The)","CLX","0","5.3","6.23","6.55","23.58","20.92","19.91","2.44","2.58",".12","-.06","0","NYSE","Consumer Staples","6","Soap and Cleaning Materials",".82","3.55","1.96","20180502","70.17299","16870.4"
"Canadian Imperial Bank of Commerce","CM","60","8.51","9.31","9.77","10.4","9.88","9.41","1.69","4.59",".21","5.13","5.2","NYSE","Finance","10","Banks - Foreign","10.62","9.76","6.94","20180524","8.8648","40862.75"
"Comerica Incorporated","CMA","0","4.7","6.32","7.11","21.27","15.96","14.19","1.6","1.19",".23","-.01","0","NYSE","Finance","12","Banks - Major Regional","2.48","5","8.04","20180417","36.726","17423.04"
"CHINA MINSHENG","CMAKY","","","","","","","","","3.17","","","","OTC","Finance","12","Banks - Foreign","","","","","","7370.4"
"Commercial Metals Company","CMC","",".86","1.43","2.16","26.66","17.91","11.83","","1.88",".01","5.36",".3","NYSE","Basic Materials","8","Steel - Producers","57.89","-65","37.26","20180322","35.90299","2984.6"
"Cheetah Mobile Inc.","CMCM","","","","","30.1","","","","0","","","","NYSE","Computer and Technology","12","Internet - Software","600","","","20180319","10.145","2161.68"
"Comcast Corporation","CMCSA","3.8","2.05","2.52","2.79","17.94","14.69","13.24","1.34","1.7",".27","2.5","1.6","NSDQ","Consumer Discretionary","12","Cable Television","4.26","6.12","9.79","20180426","46.671","171660.97"
"Cantel Medical Corp.","CMD","","2.06","2.5","2.95","52.55","46.45","39.37","",".15",".09","8.86","6.38","NYSE","Medical","7","Medical - Instruments","1.72","9.62","3.8","20180614","21.434","4854.91"
"CME Group Inc.","CME","-13.96","4.74","6.47","6.82","35.54","26.16","24.81","2.49","1.65","1.11","1.28","3.3","NSDQ","Finance","12","Securities and Exchanges","1.82","2.59","2.14","20180426","9.0611","57586.33"
"Chipotle Mexican Grill, Inc.","CMG","-3.98","6.51","8.28","10.72","49.13","39.08","30.21","2.22","0",".04",".1","-.9","NYSE","Retail-Wholesale","12","Retail - Restaurants","1.52","-14.74","4.8","20180424","0","9042.7"
"China Merchants Holdings International Co.","CMHHY","","","","","","","","","4.36","","","","OTC","Conglomerates","12","Diversified Operations","","","","","","7623.74"
"Cummins Inc.","CMI","0","10.23","12.55","13.31","15.06","12.76","12.02","1.12","2.7",".05",".27",".26","NYSE","Auto-Tires-Trucks","12","Automotive - Internal Combustion Engines","14.34","9.72","13.13","20180501","16.284","26519.27"
"Compass Minerals International, Inc.","CMP","","2.56","3.27","4.03","22.89","19.23","15.64","","4.58",".03","-17.01","-12.24","NYSE","Basic Materials","12","Chemical - Diversified ","11.41","-13.33","-31.71","20180502","65.69899","2129.71"
"Compass Group PLC","CMPGY","",".93","1.04","1.12","","21.08","19.66","","2.66",".05","-.89","-.48","OTC","Retail-Wholesale","9","Retail - Restaurants","","","","","65.011","34710.84"
"Cimpress N.V","CMPR","0","-1.36","2.1","3.41","","75.74","46.57","5.22","0","-.03","0","0","NSDQ","Industrial Products","6","Commercial Printing","12.05","29.41","65.18","20180425","87.721","4869.98"
"CMS Energy Corporation","CMS","-1.56","2.17","2.33","2.5","19.86","18.49","17.25","2.92","3.32",".07",".59",".31","NYSE","Utilities","12","Utility - Electric Power","0","12.73",".61","20180507","67.29499","12169.5"
"CNA Financial Corporation","CNA","0","3.21","4.04","4.1","15.71","13.15","12.95","2.63","2.26",".09","20.59","7.1","NYSE","Finance","12","Insurance - Property and Casualty","28.05","132","46.88","20180507","18.111","14404.37"
"Centene Corporation","CNC","-1.37","5","7.07","8.13","19.94","14.19","12.33",".98","0",".02","6.82","6.5","NYSE","Medical","12","Medical - HMOs","3.19","8","9.79","20180424","40.679","17579.84"
"Conduent Inc.","CNDT","",".81","1.09","1.25","23.08","18","15.7","","0",".03","7.3","8.19","NYSE","Business Services","12","Outsourcing","19.23","4.76","6","20180509","35.027","4129.41"
"CNH Industrial N.V.","CNHI","",".47",".67",".83","28.15","20.04","16.25","",".87",".01","-.82","-.11","NYSE","Auto-Tires-Trucks","12","Automotive - Foreign","0","37.5","22.4","20180426","85.48799","18412.91"
"Canadian National Railway Company","CNI","0","3.96","4.24","4.73","19.34","17.67","15.81","1.89","1.96",".42","-1.01","-1.07","NYSE","Transportation","12","Transportation - Rail","-4.08","-.94","-.07","20180423","34.435","55426.58"
"Cinemark Holdings Inc","CNK","0","1.92","2.37","2.57","18.23","17.44","16.12","1.16","3.09",".09","1.84","-1.45","NYSE","Consumer Discretionary","12","Leisure and Recreation Services","74.47","-5.71","20.06","20180502","59.104","4820.75"
"CONMED Corporation","CNMD","0","1.86","2.14","2.4","33.41","29.63","26.45","2.58","1.26",".07","1.05","0","NSDQ","Medical","12","Medical - Dental Supplies","6.15","2.44","5.09","20180425","42.762","1775.88"
"Fidelity National Financial, Inc.","CNNE","","1.48","-.56","-.23","10.97","","","","0","","0","0","NYSE","Finance","12","Financial - Investment Management","-14.29","6133.33","1461.01","20180314","18.68799","1323.91"
"CNO Financial Group, Inc.","CNO","0","1.65","2","2.15","12.09","11.18","10.4","1.12","1.61",".04","0","2.3","NYSE","Finance","12","Insurance - Multi line","48.78","15.38","23.86","20180425","34.57099","3731.35"
"ConnectOne Bancorp, Inc.","CNOB","","1.42","2.2","2.58","17.76","14.17","12.14","",".96",".23","0","0","NSDQ","Finance","12","Banks - Northeast","27.5","39.39","18.7","20180426","56.17499","1002.25"
"CenterPoint Energy, Inc.","CNP","-1.04","1.33","1.55","1.64","19.88","17.7","16.68","2.98","4.05",".19","4.94","5.8","NYSE","Utilities","12","Utility - Electric Power","10","-4.88","11.5","20180504","63.611","11823.65"
"Canadian Natural Resources Limited","CNQ","0",".9","2.11","2.07",".07","14.28","14.58","2.6","2.91",".14","-26.25","-14.1","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - Canadian","138931.3","-6.25","34733.41","20180503","39.402","36908.99"
"Cohen & Steers Inc","CNS","0","2.05","2.57","2.7","20.58","16.61","15.75","1.27","3.1",".24","0","0","NYSE","Finance","12","Financial - Investment Management","0","5.77","2.49","20180418","14.781","1991.04"
"CNX Resources Corporation.","CNX","",".14",".47",".53","71.33","36.82","32.46","",".73",".26","151.19","58.97","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","266.67","-600","-52.2","20180501","36.143","3830.74"
"Cone Midstream Partners LP","CNXM","0","1.73","1.77","1.89","10.65","10.35","9.67","1.04","6.84",".49","2.99",".57","NYSE","Oils-Energy","12","Energy and Pipeline - Master Limited Partnerships","-2.44","0","1.76","20180503","16.6","1164.99"
"China Cord Blood Corporation","CO","","","","","32.12","","","","0",".17","","","NYSE","Medical","3","Medical - Outpatient and Home Healthcare","","","","20180620","0","1317"
"Compass Diversified Holdings","CODI","","1.56","2","2.22","","8.45","7.6","","8.52",".02","22.79","15.61","NYSE","Finance","12","Financial - Investment Funds","20.45","-46.81","-120.29","20180502","38.68999","1012.31"
"Capital One Financial Corporation","COF","0","7.43","9.72","10.56","12.9","10.33","9.51",".92","1.59",".07","0","0","NYSE","Finance","12","Financial - Consumer Loans","-10.27","12.56","-.97","20180424","55.061","48852.4"
"Cabot Oil & Gas Corporation","COG","0",".52","1.07","1.74","48.15","23.79","14.7",".79",".94",".06","4.94","-.4","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","8.33","-12.5","1.98","20180427","32.548","11759.26"
"Coherent, Inc.","COHR","","12.26","14.77","18.05","16.94","15.51","12.69","","0",".12","-2.19","-3.62","NSDQ","Computer and Technology","9","Semiconductor Equipment - Wafer Components","0","8.77","5","20180508","29.61599","5687.89"
"Croda International PLC Unsponsored ADR","COIHY","0","1.11","1.35","1.45","","24.87","23.15","2.16","1.3","","5.07","5.47","OTC","Basic Materials","12","Chemical - Specialty","","","","20180522","","8838.51"
"Coca-Cola Bottling Co. Consolidated","COKE","","","","","38.58","","","",".53",".02","","","NSDQ","Consumer Staples","12","Beverages - Soft drinks","","","","20180508","70.995","1749.75"
"Rockwell Collins, Inc.","COL","0","6.11","7.2","7.97","21.42","18.96","17.11","1.79",".97",".1","-.93","1.05","NYSE","Aerospace","9","Aerospace - Defense Equipment","3.92","0","2.5","20180420","50.533","22366.73"
"Columbia Banking System, Inc.","COLB","0","2.23","2.8","3.04","19.97","15.74","14.5","1.57","1.99",".23","0","0","NSDQ","Finance","12","Banks - West","-3.57","32.08","6.61","20180426","2.36439","3223.2"
"Americold Realty Trust","COLD","","1.38","1.04","1.13","","17.49","16.12","2.69","0","","","","NYSE","Finance","12","REIT and Equity Trust - Other","","","","20180328","","2581.49"
"Columbia Sportswear Company","COLM","0","2.71","3.25","3.58","26.75","23.87","21.67","2.49","1.13",".04","-.32","2.72","NSDQ","Consumer Discretionary","12","Textile - Apparel","18.02","8.7","16.53","20180426","0","5432.61"
"CommScope Holding Company, Inc.","COMM","19.58","2.14","2.62","2.88","19.13","15.61","14.22","2.04","0",".04","-1.26","-1.47","NSDQ","Computer and Technology","12","Communication - Infrastructure","0","1.85","-1.93","20180503","72.61499","7818.39"
